:START_ID(Hut),:END_ID(Hut),distance_km:float,dplus_m:float,dminus_m:float
230876197,624030029,9.2691,396.1,385.5
230876197,6282702618,15.0,283.8,461.8
235207459,12801124335,5.1303,43.8,62.0
235207459,289257081,15.069600000000001,667.3,587.6
235207459,289406212,23.8109,148.4,379.4
265777706,339599369,18.259700000000002,739.2,493.0
289250952,1356403616,11.7471,249.9,125.6
289250952,4786913023,12.293899999999999,164.0,271.5
289250952,1356402043,14.2518,353.0,402.5
289250952,1356401961,20.0583,531.6,346.9
289257081,1356403681,13.2461,443.2,217.2
289257081,289406212,20.3794,170.3,481.0
289406212,1356402131,7.6239,586.4,363.4
289406212,470930791,13.7626,132.2,235.7
291141562,1356403665,6.8213,142.5,79.7
291141562,1356458317,16.2272,18.5,132.0
292599738,1356403797,0.0001,0.0,0.0
339299832,4786913023,8.7591,314.7,217.3
339299832,339299833,13.9197,451.5,479.1
339299833,1356402863,32.2357,578.6,653.6
339299835,1356458236,13.3625,199.5,80.8
339299835,1356402106,22.2593,682.5,600.8
339303441,4786913022,12.844899999999999,467.7,386.7
339303441,1669071479,23.5452,557.1,606.6
339305022,1356402628,18.6045,550.4,803.6
339305022,1356403665,22.0098,206.3,542.1
339305022,754817948,28.054,214.0,512.1
339326264,7621468648,5.386100000000001,219.3,193.3
339398252,1935081999,3.8274,133.7,63.7
339405682,9810716499,11.9749,215.4,384.5
339405682,339405688,18.7889,358.6,577.9
339405688,12801170418,16.3317,648.2,381.7
339405688,1356402669,18.2502,350.4,258.7
339409572,4093500789,16.7065,615.0,489.5
339409574,12801124335,18.2611,403.6,398.8
339409574,339409580,21.6726,629.5,615.5
339409574,4093500789,23.331400000000002,680.9,769.7
339409578,12801124335,11.535,102.6,405.5
339409578,339409580,16.3598,620.6,914.4
339409580,12801124335,16.093600000000002,397.4,406.7
339409581,12798384665,16.3395,458.6,588.2
339409581,339409582,19.4098,339.0,712.5
339409582,686379678,21.0679,655.0,582.0
339409582,339409583,21.0678,655.0,582.0
339409583,12801187428,32.0167,935.4,829.0
339409583,686169923,32.0163,935.4,829.0
339412453,1356699557,9.0869,514.6,112.2
339595788,1356699557,5.1481,301.2,366.6
339595790,339595794,23.7009,795.0,972.5
339595790,12804564864,23.8598,811.1,616.3
339595794,12804564864,11.367,702.0,329.7
339595798,809206898,4.2906,111.0,91.9
339599364,12801260925,10.640799999999999,619.6,374.6
339599364,339599367,17.607400000000002,590.8,597.8
339599364,339599366,18.8676,604.5,448.4
339599364,1356402628,23.5245,621.0,603.0
339599366,339599367,17.355700000000002,423.0,586.1
339599366,1356402628,9.922799999999999,48.4,186.5
339599367,1356458165,8.8617,328.0,297.1
339599369,339599371,20.475099999999998,468.5,304.1
339599369,339599370,24.5013,312.3,543.3
339599369,396226319,29.2683,534.5,493.5
339599370,339599371,21.259400000000003,987.1,591.7
339599371,339599375,10.7904,146.3,160.8
339599371,396226319,11.2581,161.6,285.0
339599371,6710835200,20.5125,340.1,926.5
339599373,1356401174,7.7282,222.8,60.2
339599373,339599374,17.8964,615.5,564.5
339599373,1356403490,20.202,453.7,756.7
339599374,1356403490,13.6852,301.3,655.3
339599374,339599376,22.5522,700.7,566.2
339599374,339599375,24.7067,718.1,487.2
339599375,339599376,5.313,19.5,115.8
339599375,396226319,16.1077,145.3,254.2
339599376,339599377,4.5968,52.3,124.8
339599376,396226319,12.7479,179.2,191.8
339599376,1356403490,33.4556,786.3,1274.8
396226319,6710835200,12.916,278.9,741.9
470930791,5981708157,21.2613,641.2,680.6
622411605,1896395800,9.677200000000001,89.5,285.7
622411605,1356459001,16.928,125.8,433.2
624030029,12804604888,0.0629,0.0,0.0
686169923,686379678,32.0161,829.0,935.4
686379678,12801187428,32.0166,935.4,829.0
754817948,1356403665,11.643799999999999,14.7,52.4
754817948,1896395800,14.8439,225.7,75.7
809206898,5052100722,2.8575999999999997,232.0,215.3
1288154420,1356458860,1.7187999999999999,22.7,5.5
1348454895,12802270079,11.7684,296.9,304.6
1356401961,12798384665,16.9626,334.4,349.1
1356401961,1356403616,21.425900000000002,429.5,489.9
1356402106,1356458478,17.103900000000003,301.2,273.4
1356402106,1356458236,17.315099999999997,186.1,149.1
1356402628,1356458986,29.3322,490.4,353.4
1356402669,9810716499,16.3473,429.7,471.3
1356402863,4786913022,19.3158,482.6,249.1
1356403616,1356403681,12.6495,441.8,235.9
1356403616,12798384665,32.5938,729.7,684.0
1356457509,1356459001,11.127799999999999,254.7,260.0
1356457509,1356458478,13.022200000000002,389.7,408.7
1356458023,1423334278,18.736099999999997,1066.3,806.3
1356458236,1356458478,22.0641,339.5,348.7
1356458317,1669071479,15.5882,370.4,212.4
1356458489,4093500789,17.995,305.1,922.3
1356458616,3390758693,6.0275,17.0,17.6
1356458616,1356458724,25.754,250.1,301.6
1356458616,12802270079,34.9536,324.1,317.3
1356458986,1356459001,12.1075,156.1,299.4
1356458986,11051031618,16.8138,546.0,456.0
3352385982,12802270079,0.7108,12.1,5.2
5052100722,12905366256,2.0018,293.6,106.6
5981708157,12801189405,2.7209,196.1,20.1
6137075984,7621468648,8.567,185.8,170.6
6710835200,12804604888,14.552299999999999,933.0,454.3
11051031618,12801260925,0.03,0.0,0.0
12801170418,12801170419,23.617,579.1,727.0
12801170419,12801170420,18.3938,499.0,380.0
12801170420,12801189403,16.7447,343.6,515.6
12801189403,12801189404,12.16,253.3,260.3
12801189404,12801189405,24.2745,675.1,683.1
